timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781060064262,788,Config 2,200,OK,Stress Test 1-1,text,true,,231,159,2,2,http://localhost:8080/?token=494370254&user=-1356109124&config=2,785,0,28
1781060064773,777,Config 2,200,OK,Stress Test 1-2,text,true,,231,159,3,3,http://localhost:8080/?token=494370254&user=-1356109124&config=2,777,0,0
1781060065377,802,Config 2,200,OK,Stress Test 1-3,text,true,,231,159,4,4,http://localhost:8080/?token=494370254&user=-1356109124&config=2,802,0,1
1781060065687,732,Config 2,200,OK,Stress Test 1-1,text,true,,231,159,4,4,http://localhost:8080/?token=494370254&user=-1356109124&config=2,732,0,0
1781060065968,799,Config 2,200,OK,Stress Test 1-4,text,true,,231,159,5,5,http://localhost:8080/?token=494370254&user=-1356109124&config=2,799,0,1
1781060066281,761,Config 2,200,OK,Stress Test 1-2,text,true,,231,159,5,5,http://localhost:8080/?token=494370254&user=-1356109124&config=2,761,0,0
1781060066577,792,Config 2,200,OK,Stress Test 1-5,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=2,792,0,1
1781060066886,746,Config 2,200,OK,Stress Test 1-3,text,true,,231,159,6,6,http://localhost:8080/?token=494370254&user=-1356109124&config=2,746,0,0
1781060067178,758,Config 2,200,OK,Stress Test 1-1,text,true,,231,159,7,7,http://localhost:8080/?token=494370254&user=-1356109124&config=2,758,0,0
1781060067164,802,Config 2,200,OK,Stress Test 1-6,text,true,,231,159,7,7,http://localhost:8080/?token=494370254&user=-1356109124&config=2,802,0,1
1781060067476,738,Config 2,200,OK,Stress Test 1-4,text,true,,231,159,7,7,http://localhost:8080/?token=494370254&user=-1356109124&config=2,738,0,0
1781060067786,745,Config 2,200,OK,Stress Test 1-2,text,true,,231,159,8,8,http://localhost:8080/?token=494370254&user=-1356109124&config=2,745,0,0
1781060067770,784,Config 2,200,OK,Stress Test 1-7,text,true,,231,159,8,8,http://localhost:8080/?token=494370254&user=-1356109124&config=2,784,0,1
1781060068079,747,Config 2,200,OK,Stress Test 1-5,text,true,,231,159,8,8,http://localhost:8080/?token=494370254&user=-1356109124&config=2,747,0,0
1781060068388,749,Config 2,200,OK,Stress Test 1-3,text,true,,231,159,9,9,http://localhost:8080/?token=494370254&user=-1356109124&config=2,749,0,0
1781060068373,795,Config 2,200,OK,Stress Test 1-8,text,true,,231,159,9,9,http://localhost:8080/?token=494370254&user=-1356109124&config=2,795,0,1
1781060068669,745,Config 2,200,OK,Stress Test 1-6,text,true,,231,159,9,9,http://localhost:8080/?token=494370254&user=-1356109124&config=2,745,0,0
